Quantify Compound Summary Report 

Printed Tue Aug 20 12:15:31 2019

Compound 1:  PFBA

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
53	AED-0031514-PFAS-18Jul19-053	pH adj SW 2L R1, 10 ng IS	4.210	1828	bb	12505	3.37		1:32		1.35	183	4.618	0.493	0.378	4.561	24683	4.106	4.354	1.664		Analyte
54	AED-0031514-PFAS-18Jul19-054	blank	4.295	2	bb	1			1:44		0.44	3	2.247	-0.155	-0.792	4.775	30	4.197	4.341	2.791		Analyte
55	AED-0031514-PFAS-18Jul19-055	pH adj SW 2L R2, 10 ng IS	4.204	1805	bb	13189	3.16		1:33		1.23	157	4.872	-0.170	0.158	4.280	24255	4.119	4.315	1.530		Analyte
56	AED-0031514-PFAS-18Jul19-056	pH adj SW 2L R2, 10 ng IS	4.206	1754	bb	12403	3.26		1:33		1.12	1220	5.203	-0.253	0.125	4.425	22283	4.107	4.317	1.365		Analyte
57	AED-0031514-PFAS-18Jul19-057	blank	4.415	0	bd	1			1:44		0.82	1	1.358	-0.930	-0.046	3.347	7	4.356	4.467	0.252		Analyte
58	AED-0031514-PFAS-18Jul19-058	10 ng Recovery	4.217	5024	bb	5673	10.16		1:34		1.27	87	5.139	0.211	0.305	4.706	63600	4.106	4.361	1.673		Analyte
59	AED-0031514-PFAS-18Jul19-059	10 ng Recovery	4.219	4971	bb	5100	11.18		1:34		1.42	6479	5.093	0.078	0.276	4.523	64124	4.120	4.363	1.654		Analyte
60	AED-0031514-PFAS-18Jul19-060	blank	3.826	1	bb	1			1:44		0.88	2	1.698	-0.531	-0.023	2.200	25	3.790	3.863	1.283		Analyte
61	AED-0031514-PFAS-18Jul19-061	CV1 - 2 ng/ mL	4.219	1085	bb	5370	2.34		1:15		1.26	903	4.800	-0.194	0.071	4.512	13986	4.120	4.350	2.408		Analyte
62	AED-0031514-PFAS-18Jul19-062	CV1 - 2 ng/ mL	4.206	970	bb	5695	1.98		1:15		1.23	772	5.459	-0.498	0.112	4.280	12352	4.114	4.323	1.533		Analyte
63	AED-0031514-PFAS-18Jul19-063	blank	4.637	1	db	1			1:44		1.68	3	2.407	-0.459	0.166	2.748	22	4.596	4.710	2.439		Analyte

Compound 14:  PFHpA

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
1	AED-0031514-PFAS-18Jul19-001	CV1 - 2 ng/ mL	4.767	4571	bb	21391	2.08		1:15		1.98	444	5.151	0.845	0.422	4.285	52206	4.662	4.988	10.723		Analyte
2	AED-0031514-PFAS-18Jul19-002	CV1 - 2 ng/ mL	4.759	4147	bb	21256	1.90		1:15		2.05	12779	5.024	1.642	0.471	4.227	49359	4.629	5.031	13.053		Analyte
3	AED-0031514-PFAS-18Jul19-003	blank	4.906	7	bb	1			1:44		1.20	20	4.189	1.119	-0.074	4.619	104	4.792	5.050	8.182		Analyte
4	AED-0031514-PFAS-18Jul19-004	Natural SW 500 ml R1, 10 ng IS	4.761	1791	bb	19270	0.91		1:17		1.15	3854	4.725	-0.199	0.039	3.727	22557	4.655	4.891	8.276		Analyte
5	AED-0031514-PFAS-18Jul19-005	Natural SW 500 ml R1, 10 ng IS	4.766	1623	bb	19911	0.80		1:17		1.20	2239	5.060	-0.150	0.073	4.010	19447	4.652	4.904	7.016		Analyte
6	AED-0031514-PFAS-18Jul19-006	blank	4.782	1	bb	1			1:44		1.06	2	3.805	-0.479	-0.124	3.530	21	4.717	4.855	5.448		Analyte
7	AED-0031514-PFAS-18Jul19-007	Natural SW 500 ml R2, 10 ng IS	4.759	2191	bb	21185	1.01		1:18		1.02	568	5.115	-0.183	0.071	4.068	25611	4.654	4.873	8.153		Analyte
8	AED-0031514-PFAS-18Jul19-008	Natural SW 500 ml R2, 10 ng IS	4.761	2153	bb	22416	0.94		1:18		1.19	2228	4.852	-0.216	0.086	3.865	26559	4.663	4.883	8.816		Analyte
9	AED-0031514-PFAS-18Jul19-009	blank	4.184	1	bb	4			1:44		1.08	4	3.643	-0.306	-0.072	4.656	20	4.099	4.276	5.092		Analyte
10	AED-0031514-PFAS-18Jul19-010	Natural SW 500 ml R3, 10 ng IS	4.767	2275	bb	22408	0.99		1:19		0.74	545	5.104	0.109	-0.029	4.043	26981	4.596	4.898	8.495		Analyte
11	AED-0031514-PFAS-18Jul19-011	Natural SW 500 ml R3, 10 ng IS	4.745	2156	bb	22538	0.93		1:19		1.69	82	4.819	2.016	0.715	4.400	26031	4.631	4.949	7.486		Analyte
12	AED-0031514-PFAS-18Jul19-012	blank	4.564	1	bb	7			1:44		1.13	1	4.267	-0.624	-0.043	3.248	14	4.498	4.645	1.380		Analyte
13	AED-0031514-PFAS-18Jul19-013	Natural SW 1L R1, 10 ng IS	4.741	4454	bb	25055	1.73		1:20		1.32	84	5.041	0.433	0.272	4.219	52301	4.627	4.896	9.388		Analyte
14	AED-0031514-PFAS-18Jul19-014	Natural SW 1L R1, 10 ng IS	4.758	4793	bb	25158	1.85		1:20		1.43	913	5.257	-0.113	0.102	4.094	55879	4.652	4.912	7.339		Analyte
15	AED-0031514-PFAS-18Jul19-015	blank	4.204	1	bb	1			1:44		1.46	2	2.570	-0.556	0.393	5.321	15	4.139	4.302	3.458		Analyte
16	AED-0031514-PFAS-18Jul19-016	Natural SW 1L R2, 10 ng IS	4.758	3991	bb	26225	1.48		1:21		1.25	283	5.204	-0.122	0.121	4.186	45686	4.652	4.896	6.532		Analyte
17	AED-0031514-PFAS-18Jul19-017	Natural SW 1L R2, 10 ng IS	4.741	4812	bb	25925	1.81		1:21		1.22	2335	5.123	-0.120	0.113	4.026	56520	4.627	4.888	8.734		Analyte
18	AED-0031514-PFAS-18Jul19-018	blank	4.750	1	bb	1			1:44		1.04	1	4.333	-0.629	-0.074	3.584	10	4.684	4.823	1.615		Analyte
19	AED-0031514-PFAS-18Jul19-019	Natural SW 1L R3, 10 ng IS	4.743	4307	bb	27015	1.55		1:22		1.52	479	4.935	0.551	0.434	4.376	49176	4.629	4.922	7.123		Analyte
20	AED-0031514-PFAS-18Jul19-020	Natural SW 1L R3, 10 ng IS	4.749	4390	bb	25136	1.70		1:22		2.21	460	5.040	2.382	0.769	4.441	50808	4.635	5.011	7.252		Analyte
21	AED-0031514-PFAS-18Jul19-021	blank	4.284	2	bb				1:44		0.98	2	3.560	-0.458	0.113	3.524	32	4.219	4.350	3.666		Analyte
22	AED-0031514-PFAS-18Jul19-022	Natural SW 2L R1, 10 ng IS	4.759	6467	bb	34618	3.63		1:23		0.75	1311	5.050	0.100	0.073	4.032	77619	4.596	4.882	8.196		Analyte
23	AED-0031514-PFAS-18Jul19-023	Natural SW 2L R1, 10 ng IS	4.749	5994	bb	35601	3.27		1:23		0.91	918	5.153	-0.218	0.044	4.040	70186	4.619	4.872	11.127		Analyte
24	AED-0031514-PFAS-18Jul19-024	blank	5.044	1	bb	1			1:44		0.80	1	3.561	-0.756	-0.058	2.964	12	4.981	5.100	0.325		Analyte
25	AED-0031514-PFAS-18Jul19-025	Natural SW 2L R2, 10 ng IS	4.753	8289	bb	37917	4.24		1:24		2.34	520	5.111	3.344	0.894	4.481	97599	4.647	5.007	10.528		Analyte
26	AED-0031514-PFAS-18Jul19-026	Natural SW 2L R2, 10 ng IS	4.745	7836	bb	38334	3.97		1:24		2.30	631	5.246	3.492	1.020	4.688	89927	4.639	4.997	9.501		Analyte
27	AED-0031514-PFAS-18Jul19-027	blank	5.030	1	db	11			1:44		0.91	2	4.731	-0.443	-0.153	3.543	13	4.953	5.104	1.126		Analyte
28	AED-0031514-PFAS-18Jul19-028	Natural SW 2L R3, 10 ng IS	4.745	7563	bb	38614	3.80		1:25		1.48	496	5.139	1.259	0.471	4.420	86783	4.614	4.940	7.136		Analyte
29	AED-0031514-PFAS-18Jul19-029	Natural SW 2L R3, 10 ng IS	4.758	7314	bb	39758	3.57		1:25		1.26	265	5.320	1.254	0.400	4.488	81815	4.587	4.978	8.310		Analyte
30	AED-0031514-PFAS-18Jul19-030	blank	4.474	1	bd	6			1:44		0.97	1	1.375	-0.765	-0.110	3.278	12	4.428	4.525	1.719		Analyte
31	AED-0031514-PFAS-18Jul19-031	pH adj SW 500ml R1, 10 ng IS	4.760	2126	bb	22562	0.92		1:26		0.96	609	5.192	-0.228	0.060	3.984	25426	4.645	4.874	11.328		Analyte
32	AED-0031514-PFAS-18Jul19-032	pH adj SW 500ml R1, 10 ng IS	4.766	2452	bb	22384	1.07		1:26		1.35	2712	4.986	-0.155	0.226	4.208	27559	4.652	4.920	14.574		Analyte
33	AED-0031514-PFAS-18Jul19-033	blank	4.639	1	db	1			1:44		2.94	1	2.446	-0.373	0.507	5.395	10	4.582	4.810			Analyte
34	AED-0031514-PFAS-18Jul19-034	CV2 - 20 ng/ mL	4.758	37614	bb	18780	19.42		1:16		2.32	21657	5.278	3.551	0.833	4.496	431634	4.643	5.030	9.053		Analyte
35	AED-0031514-PFAS-18Jul19-035	CV2 - 20 ng/ mL	4.766	36472	bb	18377	19.24		1:16		1.77	6223	5.185	2.207	0.692	4.558	415803	4.644	4.986	9.069		Analyte
36	AED-0031514-PFAS-18Jul19-036	blank	4.785	28	bb	13			1:44		1.34	47	2.691	0.523	-0.159	3.678	416	4.688	4.924	39.578		Analyte
37	AED-0031514-PFAS-18Jul19-037	pH adj SW 500ml R2, 10 ng IS	4.759	1817	bb	21144	0.84		1:27		1.24	648	5.266	-0.164	0.116	4.164	20544	4.645	4.906	8.477		Analyte
38	AED-0031514-PFAS-18Jul19-038	pH adj SW 500ml R2, 10 ng IS	4.767	1764	bb	20930	0.82		1:27		1.27	140	5.493	-0.123	0.105	4.178	20241	4.662	4.906	15.166		Analyte
39	AED-0031514-PFAS-18Jul19-039	blank	4.330	0	bb	11			1:44		1.29	2	3.424	-0.521	0.035	4.264	8	4.278	4.402	0.458		Analyte
40	AED-0031514-PFAS-18Jul19-040	pH adj SW 500ml R3, 10 ng IS	4.758	1947	bb	20088	0.95		1:28		1.32	1090	5.268	-0.168	0.078	4.015	23101	4.652	4.904	5.271		Analyte
41	AED-0031514-PFAS-18Jul19-041	pH adj SW 500ml R3, 10 ng IS	4.759	1839	bb	20174	0.89		1:28		0.81	3633	4.911	-0.098	0.031	3.915	22585	4.621	4.873	11.578		Analyte
42	AED-0031514-PFAS-18Jul19-042	blank	4.932	1	db	1			1:44		1.10	1	6.028	-0.780	-0.089	4.179	8	4.851	5.025	2.685		Analyte
43	AED-0031514-PFAS-18Jul19-043	pH adj SW 1L R1, 10 ng IS	4.753	4385	bb	24326	1.75		1:29		1.01	1676	5.122	0.053	0.170	4.165	51703	4.639	4.875	7.979		Analyte
44	AED-0031514-PFAS-18Jul19-044	pH adj SW 1L R1, 10 ng IS	4.759	4256	bb	21650	1.91		1:29		1.35	429	5.087	-0.106	0.143	4.062	50133	4.653	4.906	7.464		Analyte
45	AED-0031514-PFAS-18Jul19-045	blank	4.426	1	bb	1			1:44		1.39	2	3.569	-0.629	0.128	3.497	11	4.374	4.505	0.109		Analyte
46	AED-0031514-PFAS-18Jul19-046	pH adj SW 1L R2, 10 ng IS	4.749	4276	bb	23807	1.75		1:30		0.74	5572	5.064	0.161	-0.005	4.072	51327	4.578	4.880	7.907		Analyte
47	AED-0031514-PFAS-18Jul19-047	pH adj SW 1L R2, 10 ng IS	4.749	4428	bb	23772	1.81		1:30		1.19	392	5.124	-0.045	0.170	4.108	51653	4.635	4.888	10.365		Analyte
48	AED-0031514-PFAS-18Jul19-048	blank	4.653	1	bb	14			1:44		1.09	1	5.931	-0.736	0.163	4.201	7	4.564	4.759	0.980		Analyte
49	AED-0031514-PFAS-18Jul19-049	pH adj SW 1L R3, 10 ng IS	4.741	4171	bb	24471	1.66		1:31		1.38	2292	4.936	-0.050	0.153	3.973	50451	4.635	4.896	7.962		Analyte
50	AED-0031514-PFAS-18Jul19-050	pH adj SW 1L R3, 10 ng IS	4.743	4073	bb	23598	1.68		1:31		1.13	371	5.051	-0.023	0.120	4.051	48189	4.621	4.890	7.239		Analyte
51	AED-0031514-PFAS-18Jul19-051	blank	4.466	5	bb	11			1:44		1.10	11	3.680	1.107	0.123	4.312	80	4.361	4.587	2.100		Analyte
52	AED-0031514-PFAS-18Jul19-052	pH adj SW 2L R1, 10 ng IS	4.745	6172	bb	38057	3.15		1:32		1.00	383	5.025	-0.087	0.110	4.050	73488	4.631	4.859	8.171		Analyte
53	AED-0031514-PFAS-18Jul19-053	pH adj SW 2L R1, 10 ng IS	4.750	6001	bb	36985	3.15		1:32		0.93	1051	5.072	-0.035	0.059	4.076	71454	4.627	4.864	8.939		Analyte
54	AED-0031514-PFAS-18Jul19-054	blank	4.725	2	bb	56			1:44		1.15	1	5.567	-0.316	0.164	4.520	20	4.644	4.823	1.382		Analyte
55	AED-0031514-PFAS-18Jul19-055	pH adj SW 2L R2, 10 ng IS	4.733	6129	bb	31235	3.81		1:33		1.09	503	5.089	0.071	0.061	4.006	74518	4.611	4.872	9.947		Analyte
56	AED-0031514-PFAS-18Jul19-056	pH adj SW 2L R2, 10 ng IS	4.729	6158	bb	30041	3.98		1:33		1.78	861	4.995	0.841	0.405	4.150	74463	4.631	4.908	6.265		Analyte
57	AED-0031514-PFAS-18Jul19-057	blank	4.737	6	bb	25			1:44		2.95	3	4.143	1.849	0.925	3.848	95	4.671	4.932	4.447		Analyte
58	AED-0031514-PFAS-18Jul19-058	10 ng Recovery	4.749	18964	bb	18085	10.17		1:34		2.05	6612	5.059	3.016	0.827	4.522	218460	4.627	5.001	8.359		Analyte
59	AED-0031514-PFAS-18Jul19-059	10 ng Recovery	4.745	18683	bb	18190	9.96		1:34		1.24	1608	4.958	0.052	0.162	4.061	222640	4.631	4.891	10.743		Analyte
60	AED-0031514-PFAS-18Jul19-060	blank	4.751	7	bb	1			1:44		0.83	18	4.017	-0.364	0.004	3.088	120	4.678	4.817	3.645		Analyte
61	AED-0031514-PFAS-18Jul19-061	CV1 - 2 ng/ mL	4.745	3820	bb	18956	1.96		1:15		1.68	1025	5.079	0.478	0.318	4.115	45141	4.639	4.924	6.976		Analyte
62	AED-0031514-PFAS-18Jul19-062	CV1 - 2 ng/ mL	4.745	4008	bb	19753	1.97		1:15		1.65	296	5.292	1.005	0.454	4.421	45086	4.623	4.949	18.399		Analyte
63	AED-0031514-PFAS-18Jul19-063	blank	4.759	1	bb	4			1:44		1.16	3	2.710	-0.469	0.045	3.538	21	4.702	4.833	1.086		Analyte

Compound 15:  M4PFHpA-13C4

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
1	AED-0031514-PFAS-18Jul19-001	CV1 - 2 ng/ mL	4.776	21391	bb		9.96	-0.4	1:15	10.000	1.21	1180	4.363	0.859	0.384	3.649	295177	4.662	4.915	45.000	99.6	Analyte
2	AED-0031514-PFAS-18Jul19-002	CV1 - 2 ng/ mL	4.760	21256	bb		9.90	-1.0	1:15	10.000	1.29	3893	4.625	0.517	0.353	3.664	285675	4.654	4.898	2675.740	99.0	Analyte
3	AED-0031514-PFAS-18Jul19-003	blank	5.097	1	bb		0.00		1:44		1.43	3	1.982	-0.492	0.168	2.493	15	5.041	5.181	1.254		Analyte
4	AED-0031514-PFAS-18Jul19-004	Natural SW 500 ml R1, 10 ng IS	4.761	19270	bb		8.97	-10.3	1:17	10.000	1.27	5327	4.369	0.540	0.279	3.491	271768	4.655	4.900	964.967	89.7	Analyte
5	AED-0031514-PFAS-18Jul19-005	Natural SW 500 ml R1, 10 ng IS	4.758	19911	bb		9.27	-7.3	1:17	10.000	1.25	1747	4.425	0.293	0.252	3.501	277913	4.660	4.888	2583.187	92.7	Analyte
6	AED-0031514-PFAS-18Jul19-006	blank	4.774	1	bb		0.00		1:44		1.46	1	2.493	-0.732	0.239	4.855	11	4.701	4.888	1.619		Analyte
7	AED-0031514-PFAS-18Jul19-007	Natural SW 500 ml R2, 10 ng IS	4.760	21185	bb		9.86	-1.4	1:18	10.000	1.96	1500	4.309	1.718	0.556	3.648	292906	4.662	4.955	465.963	98.6	Analyte
8	AED-0031514-PFAS-18Jul19-008	Natural SW 500 ml R2, 10 ng IS	4.761	22416	bb		10.44	4.4	1:18	10.000	1.62	3825	4.487	1.239	0.437	3.587	311707	4.655	4.940	388.839	104.4	Analyte
9	AED-0031514-PFAS-18Jul19-009	blank	4.758	4	db		0.00		1:44		1.05	11	1.680	-0.522	-0.019	2.545	87	4.717	4.807	11.891		Analyte
10	AED-0031514-PFAS-18Jul19-010	Natural SW 500 ml R3, 10 ng IS	4.768	22408	bb		10.43	4.3	1:19	10.000	1.61	2167	4.379	1.137	0.466	3.647	307732	4.662	4.939	943.534	104.3	Analyte
11	AED-0031514-PFAS-18Jul19-011	Natural SW 500 ml R3, 10 ng IS	4.753	22538	bb		10.49	4.9	1:19	10.000	1.00	28828	4.437	0.133	0.182	3.485	310186	4.639	4.867	557.959	104.9	Analyte
12	AED-0031514-PFAS-18Jul19-012	blank	4.768	7	bb		0.00		1:44		0.71	3	2.875	-0.113	-0.046	2.290	144	4.694	4.825	7.552		Analyte
13	AED-0031514-PFAS-18Jul19-013	Natural SW 1L R1, 10 ng IS	4.742	25055	bb		11.66	16.6	1:20	10.000	1.64	1875	4.430	1.586	0.496	3.709	343747	4.636	4.921	1221.859	116.6	Analyte
14	AED-0031514-PFAS-18Jul19-014	Natural SW 1L R1, 10 ng IS	4.758	25158	bb		11.71	17.1	1:20	10.000	2.11	1656	4.429	3.124	0.800	3.888	337662	4.652	4.986	587.369	117.1	Analyte
15	AED-0031514-PFAS-18Jul19-015	blank	4.374	1	bb		0.00		1:44		1.63	2	2.561	-0.619	0.175	4.221	21	4.329	4.453	3.432		Analyte
16	AED-0031514-PFAS-18Jul19-016	Natural SW 1L R2, 10 ng IS	4.758	26225	bb		12.21	22.1	1:21	10.000	2.33	3342	4.610	3.515	0.819	3.820	352330	4.652	5.011	4190.563	122.1	Analyte
17	AED-0031514-PFAS-18Jul19-017	Natural SW 1L R2, 10 ng IS	4.742	25925	bb		12.07	20.7	1:21	10.000	1.20	32052	4.410	0.182	0.235	3.600	348930	4.636	4.872	1169.129	120.7	Analyte
18	AED-0031514-PFAS-18Jul19-018	blank	4.603	1	bb		0.00		1:44		0.51	3	2.749	-0.610	-0.476	3.640	16	4.499	4.660	1.285		Analyte
19	AED-0031514-PFAS-18Jul19-019	Natural SW 1L R3, 10 ng IS	4.743	27015	bb		12.58	25.8	1:22	10.000	1.41	11199	4.353	0.817	0.390	3.625	374001	4.637	4.898	2716.134	125.8	Analyte
20	AED-0031514-PFAS-18Jul19-020	Natural SW 1L R3, 10 ng IS	4.750	25136	bb		11.70	17.0	1:22	10.000	1.01	983	4.777	-0.120	0.129	3.605	330310	4.644	4.864	3046.408	117.0	Analyte
21	AED-0031514-PFAS-18Jul19-021	blank							1:44													Analyte
22	AED-0031514-PFAS-18Jul19-022	Natural SW 2L R1, 10 ng IS	4.752	34618	bb		16.12	-19.4	1:23	20.000	1.19	1370	4.728	0.065	0.192	3.624	458214	4.654	4.874	290.540	80.6	Analyte
23	AED-0031514-PFAS-18Jul19-023	Natural SW 2L R1, 10 ng IS	4.742	35601	bb		16.57	-17.1	1:23	20.000	1.75	10385	4.446	1.030	0.403	3.605	485221	4.636	4.937	836.280	82.9	Analyte
24	AED-0031514-PFAS-18Jul19-024	blank	4.598	1	dd		0.00		1:44		0.68	4	2.962	-0.390	-0.082	2.680	23	4.542	4.639	1.383		Analyte
25	AED-0031514-PFAS-18Jul19-025	Natural SW 2L R2, 10 ng IS	4.753	37917	bb		17.65	-11.7	1:24	20.000	1.36	3037	4.595	0.538	0.332	3.637	512136	4.647	4.900	934.653	88.3	Analyte
26	AED-0031514-PFAS-18Jul19-026	Natural SW 2L R2, 10 ng IS	4.745	38334	bb		17.85	-10.8	1:24	20.000	1.25	845	4.692	0.258	0.224	3.609	514590	4.639	4.884	3867.852	89.2	Analyte
27	AED-0031514-PFAS-18Jul19-027	blank	4.774	11	bb		0.00		1:44		1.02	25	3.086	1.615	0.229	2.920	205	4.668	4.888	9.058		Analyte
28	AED-0031514-PFAS-18Jul19-028	Natural SW 2L R3, 10 ng IS	4.737	38614	bb		17.98	-10.1	1:25	20.000	1.66	3374	4.608	0.946	0.414	3.692	517813	4.639	4.908	1623.803	89.9	Analyte
29	AED-0031514-PFAS-18Jul19-029	Natural SW 2L R3, 10 ng IS	4.758	39758	bb		18.51	-7.5	1:25	20.000	1.63	1368	4.367	1.802	0.528	3.652	548202	4.644	4.945	770.276	92.5	Analyte
30	AED-0031514-PFAS-18Jul19-030	blank	4.786	6	bb		0.00		1:44		1.08	14	2.816	-0.560	0.020	2.995	133	4.737	4.843	6.207		Analyte
31	AED-0031514-PFAS-18Jul19-031	pH adj SW 500ml R1, 10 ng IS	4.760	22562	bb		10.50	5.0	1:26	10.000	1.75	941	4.733	0.855	0.353	3.653	299434	4.654	4.947	608.131	105.0	Analyte
32	AED-0031514-PFAS-18Jul19-032	pH adj SW 500ml R1, 10 ng IS	4.766	22384	bb		10.42	4.2	1:26	10.000	1.08	1176	4.512	0.038	0.180	3.525	303481	4.660	4.880	30248.537	104.2	Analyte
33	AED-0031514-PFAS-18Jul19-033	blank	4.761	1	bb		0.00		1:44		1.55	2	2.094	-0.470	0.165	2.900	23	4.720	4.835	1.490		Analyte
34	AED-0031514-PFAS-18Jul19-034	CV2 - 20 ng/ mL	4.758	18780	bb		8.74	-12.6	1:16	10.000	1.06	1464	4.417	0.293	0.276	3.700	252057	4.644	4.880	2223.034	87.4	Analyte
35	AED-0031514-PFAS-18Jul19-035	CV2 - 20 ng/ mL	4.766	18377	bb		8.55	-14.5	1:16	10.000	2.13	2139	4.492	4.282	0.985	3.912	248347	4.660	4.994	6218.873	85.5	Analyte
36	AED-0031514-PFAS-18Jul19-036	blank	4.769	13	bb		0.01		1:44		1.95	39	3.178	0.580	0.438	2.743	226	4.712	4.892	25.011		Analyte
37	AED-0031514-PFAS-18Jul19-037	pH adj SW 500ml R2, 10 ng IS	4.760	21144	bb		9.84	-1.6	1:27	10.000	1.88	408	4.357	2.938	0.747	3.754	293403	4.654	4.963	1778.776	98.4	Analyte
38	AED-0031514-PFAS-18Jul19-038	pH adj SW 500ml R2, 10 ng IS	4.768	20930	bb		9.74	-2.6	1:27	10.000	1.06	7338	4.457	0.100	0.206	3.564	287356	4.662	4.882	3886.706	97.4	Analyte
39	AED-0031514-PFAS-18Jul19-039	blank	4.769	11	bb		0.00		1:44		1.37	26	1.722	-0.449	0.075	2.139	231	4.729	4.834	20.731		Analyte
40	AED-0031514-PFAS-18Jul19-040	pH adj SW 500ml R3, 10 ng IS	4.758	20088	bb		9.35	-6.5	1:28	10.000	1.20	1272	4.315	0.306	0.247	3.548	277555	4.652	4.888	438.194	93.5	Analyte
41	AED-0031514-PFAS-18Jul19-041	pH adj SW 500ml R3, 10 ng IS	4.760	20174	bb		9.39	-6.1	1:28	10.000	2.11	879	4.371	3.916	0.925	3.816	277888	4.654	4.988	28.000	93.9	Analyte
42	AED-0031514-PFAS-18Jul19-042	blank	4.272	1	bd		0.00		1:44		0.59	2	2.544	-0.740	0.053	2.542	13	4.219	4.304	1.199		Analyte
43	AED-0031514-PFAS-18Jul19-043	pH adj SW 1L R1, 10 ng IS	4.753	24326	bb		11.32	13.2	1:29	10.000	1.56	4272	4.380	0.839	0.371	3.631	334131	4.647	4.924	4638.746	113.2	Analyte
44	AED-0031514-PFAS-18Jul19-044	pH adj SW 1L R1, 10 ng IS	4.760	21650	bb		10.08	0.8	1:29	10.000	1.04	3515	4.581	0.033	0.125	3.567	291917	4.646	4.882	720.955	100.8	Analyte
45	AED-0031514-PFAS-18Jul19-045	blank	4.296	1	bb		0.00		1:44		0.80	2	2.466	-0.513	0.131	2.488	16	4.250	4.335	1.308		Analyte
46	AED-0031514-PFAS-18Jul19-046	pH adj SW 1L R2, 10 ng IS	4.750	23807	bb		11.08	10.8	1:30	10.000	1.67	1768	4.555	1.046	0.378	3.693	318695	4.644	4.929	3716.321	110.8	Analyte
47	AED-0031514-PFAS-18Jul19-047	pH adj SW 1L R2, 10 ng IS	4.750	23772	bb		11.07	10.7	1:30	10.000	1.29	1701	4.324	0.241	0.193	3.508	328421	4.644	4.888	564.784	110.7	Analyte
48	AED-0031514-PFAS-18Jul19-048	blank	4.784	14	db		0.01		1:44		1.10	3	1.854	-0.867	0.076	2.567	245	4.743	4.833	20.722		Analyte
49	AED-0031514-PFAS-18Jul19-049	pH adj SW 1L R3, 10 ng IS	4.750	24471	bb		11.39	13.9	1:31	10.000	1.30	3263	4.249	0.384	0.227	3.509	340961	4.644	4.888	1429.628	113.9	Analyte
50	AED-0031514-PFAS-18Jul19-050	pH adj SW 1L R3, 10 ng IS	4.751	23598	bb		10.99	9.9	1:31	10.000	1.77	2600	4.378	1.415	0.502	3.621	323638	4.646	4.939	1352.692	109.9	Analyte
51	AED-0031514-PFAS-18Jul19-051	blank	4.725	11	bb		0.01		1:44		0.60	35	3.184	2.397	-0.660	2.741	224	4.611	4.799	7.617		Analyte
52	AED-0031514-PFAS-18Jul19-052	pH adj SW 2L R1, 10 ng IS	4.745	38057	bb		17.72	-11.4	1:32	20.000	2.07	7482	4.693	2.888	0.742	3.834	503372	4.639	4.965	1001.845	88.6	Analyte
53	AED-0031514-PFAS-18Jul19-053	pH adj SW 2L R1, 10 ng IS	4.742	36985	bb		17.22	-13.9	1:32	20.000	1.79	47813	4.652	1.100	0.405	3.717	491745	4.636	4.937	2067.586	86.1	Analyte
54	AED-0031514-PFAS-18Jul19-054	blank	4.742	56	bb		0.03		1:44		1.46	50	3.616	-0.300	0.234	2.695	979	4.693	4.823	112.042		Analyte
55	AED-0031514-PFAS-18Jul19-055	pH adj SW 2L R2, 10 ng IS	4.733	31235	bb		14.54	-27.3	1:33	20.000	1.27	4055	4.464	0.336	0.234	3.504	433445	4.628	4.872	2319.555	72.7	Analyte
56	AED-0031514-PFAS-18Jul19-056	pH adj SW 2L R2, 10 ng IS	4.729	30041	bb		13.98	-30.1	1:33	20.000	1.61	3328	4.449	0.685	0.339	3.552	411047	4.631	4.892	1769.099	69.9	Analyte
57	AED-0031514-PFAS-18Jul19-057	blank	4.753	25	bb		0.01		1:44		0.96	11	3.304	2.381	-0.241	3.048	474	4.623	4.884	26.955		Analyte
58	AED-0031514-PFAS-18Jul19-058	10 ng Recovery	4.742	18085	bb		8.42	-15.8	1:34	10.000	1.82	4449	4.522	1.405	0.525	3.830	237649	4.636	4.945	536.980	84.2	Analyte
59	AED-0031514-PFAS-18Jul19-059	10 ng Recovery	4.745	18190	bb		8.47	-15.3	1:34	10.000	1.65	8721	4.648	1.135	0.490	3.769	241864	4.639	4.924	563.982	84.7	Analyte
60	AED-0031514-PFAS-18Jul19-060	blank	4.849	1	dd		0.00		1:44		1.12	1	3.705	-0.630	0.211	4.402	9	4.784	4.931	0.768		Analyte
61	AED-0031514-PFAS-18Jul19-061	CV1 - 2 ng/ mL	4.737	18956	bb		8.82	-11.8	1:15	10.000	1.32	797	4.469	0.277	0.284	3.643	253658	4.639	4.875	16.000	88.2	Analyte
